,name,geom,key,value
353,,POINT (-49.2770772 -25.43191),highway,traffic_signals
354,,POINT (-49.2740984 -25.4309429),highway,traffic_signals
355,,POINT (-49.2683234 -25.4320787),highway,traffic_signals
356,,POINT (-49.2679341 -25.4328969),highway,traffic_signals
357,,POINT (-49.2688127 -25.4348387),highway,traffic_signals
358,,POINT (-49.2668289 -25.432472),highway,traffic_signals
359,,POINT (-49.2791681 -25.4341386),highway,traffic_signals
360,,POINT (-49.2815014 -25.4350973),highway,traffic_signals
361,,POINT (-49.2856302 -25.4367091),highway,traffic_signals
362,,POINT (-49.2912182 -25.438927),highway,traffic_signals
363,,POINT (-49.2939239 -25.4399762),highway,traffic_signals
364,,POINT (-49.2979511 -25.4415928),highway,traffic_signals
365,,POINT (-49.2988318 -25.4405356),highway,traffic_signals
366,,POINT (-49.3036178 -25.4371965),highway,traffic_signals
367,,POINT (-49.3053041 -25.4364773),highway,traffic_signals
368,,POINT (-49.2899246 -25.436962),highway,traffic_signals
369,,POINT (-49.2880479 -25.4362662),highway,traffic_signals
370,,POINT (-49.2874549 -25.4374184),highway,traffic_signals
371,,POINT (-49.2826433 -25.4327455),highway,traffic_signals
372,,POINT (-49.2820923 -25.4338987),highway,traffic_signals
373,,POINT (-49.2803033 -25.4317858),highway,traffic_signals
374,,POINT (-49.2797267 -25.4329807),highway,traffic_signals
375,,POINT (-49.2780761 -25.4323119),highway,traffic_signals
376,,POINT (-49.2942766 -25.4334989),highway,traffic_signals
377,,POINT (-49.2965769 -25.4344205),highway,traffic_signals
378,,POINT (-49.2978218 -25.4349397),highway,traffic_signals
379,,POINT (-49.3021992 -25.4366586),highway,traffic_signals
380,,POINT (-49.2938123 -25.4342759),highway,traffic_signals
381,,POINT (-49.296205 -25.4351914),highway,traffic_signals
382,,POINT (-49.2974841 -25.4356818),highway,traffic_signals
383,,POINT (-49.3018455 -25.4374139),highway,traffic_signals
384,,POINT (-49.3027434 -25.4354923),highway,traffic_signals
385,,POINT (-49.2983997 -25.4338076),highway,traffic_signals
386,,POINT (-49.2971384 -25.433313),highway,traffic_signals
387,,POINT (-49.2949086 -25.4323897),highway,traffic_signals
388,,POINT (-49.2871666 -25.4266891),highway,traffic_signals
389,,POINT (-49.2834467 -25.4252705),highway,traffic_signals
390,,POINT (-49.28534 -25.4393729),highway,traffic_signals
391,,POINT (-49.283734 -25.4409851),highway,traffic_signals
392,,POINT (-49.280709 -25.4374188),highway,traffic_signals
393,,POINT (-49.2793374 -25.4386996),highway,traffic_signals
394,,POINT (-49.2769819 -25.4340329),highway,traffic_signals
395,,POINT (-49.2798564 -25.4366437),highway,traffic_signals
396,,POINT (-49.2802546 -25.4394256),highway,traffic_signals
397,,POINT (-49.3047134 -25.4454278),highway,traffic_signals
398,,POINT (-49.3062973 -25.4434054),highway,traffic_signals
399,,POINT (-49.3073877 -25.4386947),highway,traffic_signals
400,,POINT (-49.3073357 -25.4347574),highway,traffic_signals
401,,POINT (-49.3062117 -25.4358074),highway,traffic_signals
402,,POINT (-49.3062993 -25.4357318),highway,traffic_signals
403,,POINT (-49.2996547 -25.4260799),highway,traffic_signals
404,,POINT (-49.2976839 -25.4274456),highway,traffic_signals
405,,POINT (-49.2953653 -25.4315573),highway,traffic_signals
406,,POINT (-49.2954129 -25.4314769),highway,traffic_signals
407,,POINT (-49.2931084 -25.4305671),highway,traffic_signals
408,,POINT (-49.2994956 -25.4315867),highway,traffic_signals
409,,POINT (-49.296107 -25.4302357),highway,traffic_signals
410,,POINT (-49.2919518 -25.4250386),highway,traffic_signals
411,,POINT (-49.2904977 -25.4280122),highway,traffic_signals
412,,POINT (-49.2910069 -25.4297393),highway,traffic_signals
413,,POINT (-49.2885437 -25.4237547),highway,traffic_signals
414,,POINT (-49.2909658 -25.429823),highway,traffic_signals
415,,POINT (-49.2898905 -25.4292995),highway,traffic_signals
416,,POINT (-49.290655 -25.4245795),highway,traffic_signals
417,,POINT (-49.2898452 -25.429386),highway,traffic_signals
418,,POINT (-49.2875992 -25.4222),highway,traffic_signals
419,,POINT (-49.2892571 -25.4275085),highway,traffic_signals
420,,POINT (-49.2908434 -25.424236),highway,traffic_signals
421,,POINT (-49.2890882 -25.4225058),highway,traffic_signals
422,,POINT (-49.2912337 -25.422529),highway,traffic_signals
423,,POINT (-49.2914675 -25.4229818),highway,traffic_signals
424,,POINT (-49.2918793 -25.4220904),highway,traffic_signals
425,,POINT (-49.2769365 -25.4539401),highway,traffic_signals
426,,POINT (-49.2789513 -25.4508675),highway,traffic_signals
427,,POINT (-49.2802567 -25.4481642),highway,traffic_signals
428,,POINT (-49.2671581 -25.4167653),highway,traffic_signals
429,,POINT (-49.266209 -25.4090714),highway,traffic_signals
430,,POINT (-49.2796772 -25.4128151),highway,traffic_signals
431,,POINT (-49.2799226 -25.38028),highway,traffic_signals
432,,POINT (-49.2236528 -25.4456311),highway,traffic_signals
433,,POINT (-49.2329492 -25.4592793),highway,traffic_signals
434,,POINT (-49.2526216 -25.4182895),highway,traffic_signals
435,,POINT (-49.2593997 -25.4186912),highway,traffic_signals
436,,POINT (-49.2596867 -25.415534),highway,traffic_signals
437,,POINT (-49.2583488 -25.4173937),highway,traffic_signals
438,,POINT (-49.2599309 -25.4199198),highway,traffic_signals
439,,POINT (-49.2612874 -25.4172444),highway,traffic_signals
440,,POINT (-49.2574127 -25.4233811),highway,traffic_signals
441,,POINT (-49.2192811 -25.4507122),highway,traffic_signals
442,,POINT (-49.2140618 -25.4646466),highway,traffic_signals
443,,POINT (-49.2812651 -25.4141006),highway,traffic_signals
444,,POINT (-49.2817163 -25.4159281),highway,traffic_signals
445,,POINT (-49.291346 -25.4206214),highway,traffic_signals
446,,POINT (-49.2807095 -25.411316),highway,traffic_signals
447,,POINT (-49.2788981 -25.4165616),highway,traffic_signals
448,,POINT (-49.2762241 -25.415144),highway,traffic_signals
449,,POINT (-49.2820625 -25.4228437),highway,traffic_signals
450,,POINT (-49.2803549 -25.416252),highway,traffic_signals
