,name,geom,key,value
221,,POINT (-49.3072288 -25.4361413),amenity,bus_station
222,,POINT (-49.3068672 -25.4359867),amenity,bus_station
223,,POINT (-49.3069258 -25.4360092),amenity,bus_station
224,,POINT (-49.3068525 -25.4359813),amenity,bus_station
225,,POINT (-49.3069436 -25.4360158),amenity,bus_station
226,,POINT (-49.3068782 -25.4359622),amenity,bus_station
227,,POINT (-49.3068445 -25.4359991),amenity,bus_station
228,,POINT (-49.306936 -25.4360327),amenity,bus_station
229,,POINT (-49.3069364 -25.4359858),amenity,bus_station
230,,POINT (-49.3072086 -25.4361139),amenity,bus_station
231,,POINT (-49.3071665 -25.4360979),amenity,bus_station
232,,POINT (-49.3071772 -25.4360741),amenity,bus_station
233,,POINT (-49.3072186 -25.4360916),amenity,bus_station
234,,POINT (-49.3075684 -25.4362716),amenity,bus_station
235,,POINT (-49.3074473 -25.4362272),amenity,bus_station
236,,POINT (-49.3074874 -25.4361902),amenity,bus_station
237,,POINT (-49.3075666 -25.4362229),amenity,bus_station
238,,POINT (-49.30706 -25.4356936),amenity,bus_station
239,,POINT (-49.3070008 -25.4356737),amenity,bus_station
240,,POINT (-49.3070116 -25.4356493),amenity,bus_station
241,,POINT (-49.3070708 -25.4356693),amenity,bus_station
242,,POINT (-49.3070966 -25.4356786),amenity,bus_station
243,,POINT (-49.3071042 -25.4356614),amenity,bus_station
244,,POINT (-49.3069957 -25.4356223),amenity,bus_station
245,,POINT (-49.3069876 -25.4356406),amenity,bus_station
246,,POINT (-49.3309041 -25.4005273),amenity,bus_station
247,,POINT (-49.329817 -25.4013185),amenity,bus_station
248,,POINT (-49.3308486 -25.4004659),amenity,bus_station
249,,POINT (-49.3297696 -25.4012544),amenity,bus_station
250,,POINT (-49.2762788 -25.4968178),amenity,bus_station
251,,POINT (-49.2762381 -25.4968454),amenity,bus_station
252,,POINT (-49.2762622 -25.496829),amenity,bus_station
253,,POINT (-49.2762801 -25.4964797),amenity,bus_station
254,,POINT (-49.2762375 -25.4965073),amenity,bus_station
255,,POINT (-49.2764141 -25.4967291),amenity,bus_station
256,,POINT (-49.2764566 -25.4967016),amenity,bus_station
257,,POINT (-49.2760977 -25.4966002),amenity,bus_station
258,,POINT (-49.276057 -25.4966278),amenity,bus_station
259,,POINT (-49.2764386 -25.4967132),amenity,bus_station
260,,POINT (-49.2667489 -25.4851271),amenity,bus_station
261,,POINT (-49.2667059 -25.4851555),amenity,bus_station
262,,POINT (-49.266908 -25.485323),amenity,bus_station
263,,POINT (-49.2670888 -25.4852107),amenity,bus_station
264,,POINT (-49.2669208 -25.4849975),amenity,bus_station
265,,POINT (-49.2670425 -25.4852404),amenity,bus_station
266,,POINT (-49.2668745 -25.4850272),amenity,bus_station
267,,POINT (-49.2668651 -25.4853514),amenity,bus_station
268,,POINT (-49.2670707 -25.4852223),amenity,bus_station
269,,POINT (-49.2668869 -25.485337),amenity,bus_station
270,,POINT (-49.2587849 -25.474922),amenity,bus_station
271,,POINT (-49.2587472 -25.4749474),amenity,bus_station
272,,POINT (-49.2585713 -25.474735),amenity,bus_station
273,,POINT (-49.258609 -25.4747096),amenity,bus_station
274,,POINT (-49.25862 -25.4750357),amenity,bus_station
275,,POINT (-49.2585738 -25.4750658),amenity,bus_station
276,,POINT (-49.2584003 -25.4748486),amenity,bus_station
277,,POINT (-49.2584465 -25.4748185),amenity,bus_station
278,,POINT (-49.2587655 -25.474935),amenity,bus_station
279,,POINT (-49.2585992 -25.4750492),amenity,bus_station
280,,POINT (-49.2541105 -25.4692147),amenity,bus_station
281,,POINT (-49.2540699 -25.4692421),amenity,bus_station
282,,POINT (-49.2538935 -25.469029),amenity,bus_station
283,,POINT (-49.2539342 -25.4690016),amenity,bus_station
284,,POINT (-49.2539361 -25.4693292),amenity,bus_station
285,,POINT (-49.2538948 -25.469356),amenity,bus_station
286,,POINT (-49.253718 -25.4691334),amenity,bus_station
287,,POINT (-49.2537592 -25.4691067),amenity,bus_station
288,,POINT (-49.2539125 -25.4690162),amenity,bus_station
289,,POINT (-49.2537359 -25.4691218),amenity,bus_station
290,,POINT (-49.2581272 -25.4390855),amenity,bus_station
291,,POINT (-49.2579058 -25.4393527),amenity,bus_station
292,,POINT (-49.2588691 -25.4383243),amenity,bus_station
293,,POINT (-49.2585589 -25.4385718),amenity,bus_station
294,,POINT (-49.2583389 -25.4388039),amenity,bus_station
295,,POINT (-49.2568979 -25.4385285),amenity,bus_station
296,,POINT (-49.2575839 -25.4391344),amenity,bus_station
297,,POINT (-49.25735 -25.4389389),amenity,bus_station
298,,POINT (-49.2571401 -25.4387485),amenity,bus_station
299,,POINT (-49.2577388 -25.4392503),amenity,bus_station
300,,POINT (-49.2496253 -25.4586285),amenity,bus_station
301,,POINT (-49.2495775 -25.4586441),amenity,bus_station
302,,POINT (-49.2496808 -25.4589017),amenity,bus_station
